<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
GDAX.BCH-USD,D,29/10/20,00:00:00,267.6200000
GDAX.BCH-USD,D,30/10/20,00:00:00,262.2500000
GDAX.BCH-USD,D,31/10/20,00:00:00,262.2800000
GDAX.BCH-USD,D,01/11/20,00:00:00,268.2900000
GDAX.BCH-USD,D,02/11/20,00:00:00,257.7300000
GDAX.BCH-USD,D,03/11/20,00:00:00,244.4600000
GDAX.BCH-USD,D,04/11/20,00:00:00,241.4700000
GDAX.BCH-USD,D,05/11/20,00:00:00,249.9200000
GDAX.BCH-USD,D,06/11/20,00:00:00,258.0900000
GDAX.BCH-USD,D,07/11/20,00:00:00,254.3800000
GDAX.BCH-USD,D,08/11/20,00:00:00,270.7000000
GDAX.BCH-USD,D,09/11/20,00:00:00,264.2900000
GDAX.BCH-USD,D,10/11/20,00:00:00,257.4900000
GDAX.BCH-USD,D,11/11/20,00:00:00,257.2500000
GDAX.BCH-USD,D,12/11/20,00:00:00,260.0500000
GDAX.BCH-USD,D,13/11/20,00:00:00,259.4800000
GDAX.BCH-USD,D,14/11/20,00:00:00,255.5500000
GDAX.BCH-USD,D,15/11/20,00:00:00,246.9800000
GDAX.BCH-USD,D,16/11/20,00:00:00,256.5600000
GDAX.BCH-USD,D,17/11/20,00:00:00,255.7700000
GDAX.BCH-USD,D,18/11/20,00:00:00,246.5400000
GDAX.BCH-USD,D,19/11/20,00:00:00,246.5400000
GDAX.BCH-USD,D,20/11/20,00:00:00,260.3200000
GDAX.BCH-USD,D,21/11/20,00:00:00,304.9300000
GDAX.BCH-USD,D,22/11/20,00:00:00,289.8200000
GDAX.BCH-USD,D,23/11/20,00:00:00,322.8600000
GDAX.BCH-USD,D,24/11/20,00:00:00,349.4700000
GDAX.BCH-USD,D,25/11/20,00:00:00,312.9700000
GDAX.BCH-USD,D,26/11/20,00:00:00,271.8100000
GDAX.BCH-USD,D,27/11/20,00:00:00,265.7200000
GDAX.BCH-USD,D,28/11/20,00:00:00,276.3000000
GDAX.BCH-USD,D,29/11/20,00:00:00,285.4300000
GDAX.BCH-USD,D,30/11/20,00:00:00,317.5800000
GDAX.BCH-USD,D,01/12/20,00:00:00,288.1200000
GDAX.BCH-USD,D,02/12/20,00:00:00,294.5100000
